ID_adherent,num_workers,avg_days,std_days,min_days,max_days,avg_salary,std_salary,total_salary,full_time_ratio,cluster
3179,2,26.0,0.0,26,26,3193.825,105.04071234526144,6387.65,1.0,3
38582,255,23.584313725490198,4.751268895954139,0,26,3749.4569019607843,3349.3500470742715,956111.51,0.5215686274509804,1
27989,1,26.0,0.0,26,26,18370.0,0.0,18370.0,1.0,3
52606,6,26.0,0.0,26,26,6223.4800000000005,2920.6352034788597,37340.880000000005,1.0,3
53544,120,25.7,2.0766812567211193,9,26,27089.441749999998,33248.5748666551,3250733.01,0.9666666666666667,3
23925,2,21.0,7.0710678118654755,16,26,2405.025,799.0660180798582,4810.05,0.5,1
44953,14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
52799,15,24.333333333333332,2.126924898488314,21,26,5441.667333333334,4481.012589840232,81625.01000000001,0.6,3
43735,2,20.5,7.7781745930520225,15,26,3750.0,2474.8737341529163,7500.0,0.5,1
24213,2,26.0,0.0,26,26,3253.02,0.0,6506.04,1.0,3
16482,79,25.037974683544302,4.207572654200579,0,26,6104.41075949367,8601.72927050968,482248.44999999995,0.9367088607594937,1
37158,4,26.0,0.0,26,26,3155.68,142.18314785280742,12622.72,1.0,3
28803,22,26.0,0.0,26,26,32481.32772727272,11900.876316695949,714589.2099999998,1.0,3
14765,1,26.0,0.0,26,26,5000.0,0.0,5000.0,1.0,3
47869,9,6.555555555555555,2.650995620097811,0,10,793.1111111111111,384.7429156087362,7138.0,0.0,0
52869,3,22.0,4.0,18,26,2923.6666666666665,1128.7082587335549,8771.0,0.3333333333333333,1
16204,2,26.0,0.0,26,26,3000.0,0.0,6000.0,1.0,3
45858,25,25.88,0.43969686527576396,24,26,3865.9748,1047.9569222544408,96649.37,0.92,3
26882,47,24.02127659574468,5.387139927247544,0,26,3105.6974468085104,799.3241719468746,145967.78,0.723404255319149,1
19741,5,16.0,8.94427190999916,0,20,2307.92,1413.396436602272,11539.6,0.0,0
3660,22,21.363636363636363,4.413674147523746,15,26,3223.397272727273,1504.4265373261849,70914.74,0.45454545454545453,1
15801,2,26.0,0.0,26,26,4566.0,380.42344827836257,9132.0,1.0,3
2522,355,24.467605633802815,3.158871224766441,2,26,4113.440366197184,2666.497377082475,1460271.33,0.6957746478873239,1
18403,7,25.142857142857142,2.267786838055363,20,26,3156.6571428571433,341.1149017420321,22096.600000000002,0.8571428571428571,3
3330,57,25.49122807017544,2.2766109446903107,13,26,3976.4561403508774,937.103555608897,226658.0,0.9473684210526315,3
22641,44,5.568181818181818,10.460107445916933,0,26,849.3179545454547,1654.242224709549,37369.990000000005,0.1590909090909091,0
731,67,25.671641791044777,1.5214432910641182,15,26,12025.246119402986,12879.10379188201,805691.49,0.9253731343283582,3
49687,2,26.0,0.0,26,26,3733.955,300.44260025835206,7467.91,1.0,3
46962,3,26.0,0.0,26,26,3366.06,85.73651497465943,10098.18,1.0,3
13525,40,25.8,0.563869415688347,24,26,6457.48175,4275.42036724109,258299.27,0.875,3
136053,2,26.0,0.0,26,26,2971.0,0.0,5942.0,1.0,3
6411,1,16.0,0.0,16,16,2110.14,0.0,2110.14,0.0,0
51025,3,26.0,0.0,26,26,4100.0,655.7438524302,12300.0,1.0,3
38304,5,19.6,3.5777087639996634,18,26,2448.0,867.5943752699184,12240.0,0.2,0
45367,3,26.0,0.0,26,26,4808.883333333333,1145.0557806645638,14426.65,1.0,3
38654,17,26.0,0.0,26,26,3705.8823529411766,1104.8023512348793,63000.0,1.0,3
7753,3,26.0,0.0,26,26,3119.5500000000006,5.569494857771083e-13,9358.650000000001,1.0,3
2440,8,26.0,0.0,26,26,7565.3125,5183.13984108571,60522.5,1.0,3
51588,11,26.0,0.0,26,26,4161.704545454545,1239.1853879574567,45778.75,1.0,3
2110,4,23.5,5.0,16,26,3922.375,1559.647077119265,15689.5,0.75,1
3702,5,26.0,0.0,26,26,4400.0,1193.7336386313323,22000.0,1.0,3
15963,9,22.88888888888889,4.675586713035179,16,26,2743.3611111111113,685.3204851462643,24690.25,0.6666666666666666,1
16636,6,26.0,0.0,26,26,3769.045,1100.0744674566354,22614.27,1.0,3
50205,3,26.0,0.0,26,26,3530.616666666667,501.4803502963335,10591.85,1.0,3
6023,75,24.24,4.6552498699158305,0,26,3447.4089333333336,1268.1192291050056,258555.67,0.76,1
51417,20,26.0,0.0,26,26,3432.238,718.2639435955793,68644.76,1.0,3
5086,4,15.0,0.0,15,15,1875.0,0.0,7500.0,0.0,0
44417,3,26.0,0.0,26,26,4197.45,1609.681418014136,12592.35,1.0,3
38736,302,22.605960264900663,4.963691850071783,2,26,4015.979039735099,2403.874409632317,1212825.67,0.45364238410596025,1
49815,5,26.0,0.0,26,26,3177.9559999999997,199.2388742941496,15889.779999999999,1.0,3
45755,118,25.584745762711865,1.721290865165809,16,26,4509.104237288135,1863.5741901960325,532074.2999999999,0.923728813559322,3
60883,5,26.0,0.0,26,26,7355.85,4962.647562919414,36779.25,1.0,3
303,8,26.0,0.0,26,26,129687.80125,21484.584269684052,1037502.41,1.0,3
35194,4,26.0,0.0,26,26,2970.05,0.0,11880.2,1.0,3
22723,55,25.163636363636364,4.228490827722661,0,26,4179.30890909091,2672.7617914938023,229861.99000000002,0.9454545454545454,1
9036,17,23.705882352941178,6.871723818322017,0,26,4660.30294117647,1759.4025688240195,79225.15,0.8823529411764706,1
653,25,26.0,0.0,26,26,7572.250400000001,9618.02666392145,189306.26,1.0,3
21450,1,26.0,0.0,26,26,3267.0,0.0,3267.0,1.0,3
51831,5,24.8,2.6832815729997477,20,26,4355.0419999999995,2060.6279788380048,21775.21,0.8,3
20242,28,26.0,0.0,26,26,43581.279642857146,22676.129755652662,1220275.83,1.0,3
47894,33,24.727272727272727,5.1494704052499864,0,26,4762.305454545454,4046.0079334983784,157156.08,0.9090909090909091,1
11126,30,23.666666666666668,6.059095945614404,0,26,2974.1240000000003,769.2114630495937,89223.72,0.8,1
44291,1,26.0,0.0,26,26,2970.05,0.0,2970.05,1.0,3
13861,3,20.666666666666668,4.618802153517007,18,26,2704.093333333333,1122.288094266946,8112.279999999999,0.3333333333333333,1
36847,26,25.307692307692307,2.3961507593510185,14,26,3752.653846153846,1974.9693049221337,97569.0,0.8461538461538461,3
5600,152,24.289473684210527,4.277821409613534,0,26,4447.404736842105,6970.993792989866,676005.52,0.6907894736842105,1
52234,29,25.586206896551722,1.1807153212992278,21,26,3734.515862068966,1978.8233020436257,108300.96,0.8620689655172413,3
45483,10,26.0,0.0,26,26,21644.827999999998,8453.434503612258,216448.27999999997,1.0,3
2359,19,25.210526315789473,1.9882696935448683,19,26,5160.435789473684,3985.078606298914,98048.28,0.8421052631578947,3
50483,5,26.0,0.0,26,26,3411.398,105.42991496724265,17056.99,1.0,3
4012,4,25.25,1.5,23,26,14457.415,19200.090505176446,57829.66,0.75,3
52764,6,26.0,0.0,26,26,45578.71666666667,22715.194822489782,273472.3,1.0,3
2609,162,4.055555555555555,9.3478333092562,0,26,813.7917901234568,1992.8902488690007,131834.27000000002,0.14814814814814814,0
27684,69,14.579710144927537,6.306872528537349,1,26,5590.635362318841,3019.143280621069,385753.84,0.18840579710144928,0
14607,21,24.61904761904762,3.787825107844744,9,26,3335.268571428572,1215.405741146905,70040.64000000001,0.6666666666666666,1
18947,1,26.0,0.0,26,26,3118.55,0.0,3118.55,1.0,3
36628,2,26.0,0.0,26,26,4435.28,1859.2948547231556,8870.56,1.0,3
7128,41,22.4390243902439,3.041782211860383,13,26,3208.570243902439,1217.9297297350283,131551.38,0.2682926829268293,1
29083,4,22.0,0.0,22,22,2623.08,0.0,10492.32,0.0,0
3184,297,24.198653198653197,4.588204420208389,2,26,7840.828754208755,7963.525060774569,2328726.14,0.7070707070707071,1
497,124,25.879032258064516,1.1797253499819282,13,26,8910.976370967743,11850.9082789921,1104961.07,0.9838709677419355,3
21542,2,12.5,3.5355339059327378,10,15,1742.5,799.7377695219852,3485.0,0.0,0
48663,8,24.625,3.8890872965260113,15,26,3000.0,592.8141120356122,24000.0,0.875,1
51923,2,19.0,0.0,19,19,2171.85,0.0,4343.7,0.0,0
48993,134,24.28358208955224,3.7788726892396514,0,26,3351.8451492537315,1051.055886561839,449147.25,0.7089552238805971,1
52326,2,23.5,3.5355339059327378,21,26,2981.4700000000003,823.9066793029414,5962.9400000000005,0.5,1
